ID	words	meaning	lx
184	again	ad. 又,再	 Please say that again./r/n     请再说一次。/r/n\n Say that again, please./r/n     请再说一遍。/r/n
185	against	prep. 反对,靠,倚	 There are 26 votes for him and 8 against him./r/n     有26票赞成他，8票反对他。/r/n\n We have saved some money against our old age./r/n     我们存了一些钱，以备老年之用。/r/n
186	age	n. 年龄<br>\nv. (使)变老<br>\nvi. 变老	 Anxiety ages us./r/n     忧虑催人老。/r/n\n The period in which man learnt to make tools of iron is called the Iron Age./r/n     人类学会用铁制造工具的时代称为铁器时代。/r/n
187	aged	a. 年老的	 The heroine of the film is an aged woman./r/n     影片的女主角是一位老妇人。/r/n\n She is a teacher aged only twenty./r/n     她是一位年仅二十岁的教师。/r/n
188	agency	n. 代理,代理处	 I got this job through an employment agency./r/n     我通过职业介绍所找到了这份工作。/r/n\n The agency places about 2000 secretaries per annum./r/n     该代理机构每年可为约2000名秘书安排工作./r/n
189	agenda	n. 议事日程	 Could you run (me) off twenty copies of the agenda?/r/n     你把议事日程表给（我）复印二十份好吗?/r/n\n This agenda will form the basis of our next meeting./r/n     本议程将成为下次会议的中心议题./r/n
190	agent	n. 代理人,代理商,特工人员	 He used to be a literary agent./r/n     他曾是一位著作经纪人。/r/n\n The agent spoke on behalf of his principal./r/n     代理人代表他的委托人说话。/r/n
191	aggregate	n. 合计,总计,集合体<br>\na. 合计的,集合的,聚合的<br>\nv. 聚集,集合,合计	 The television audience aggregated 30 millions./r/n     电视观众合计达3000万人./r/n\n Our team scored the most goals on aggregate./r/n     整个来说, 我们队得分最多./r/n
192	aggression	n. 进攻,侵犯,侵害,侵略	
193	aggressive	a. 侵犯的,攻击性的,有进取心的	 He is an aggressive man./r/n     他是一个好斗的人。/r/n\n A successful businessman must be aggressive./r/n     一个成功的商人必须有进取心。/r/n
194	agitation	n. 激动,兴奋,煽动	 He was in a state of great agitation./r/n     他处于异常焦虑的状态。/r/n\n The agitation of the strike arose repeatedly./r/n     罢工风潮迭起。/r/n
195	ago	ad. 以前	 He came here two years ago./r/n     他两年前来到这里。/r/n\n He joined the army a year ago./r/n     一年以前，他参军了。/r/n
196	agony	n. (极度的)痛苦,创痛	 He was in an agony of remorse./r/n     他处于悔恨的海洋中。/r/n\n The boxer folded up in agony./r/n     那拳击手痛苦地倒下了./r/n
197	agreeable	a. 愉快的,和蔼可亲的	 Are you agreeable to the proposal?/r/n     你能同意这项建议吗？/r/n\n She has an agreeable voice./r/n     她的声音悦耳。/r/n
198	agreement	n. 同意,一致,协议	 We are in agreement with their decision./r/n     我们同意他们的决定。/r/n\n Finally we reached an agreement./r/n     我们最终达成了协议。/r/n
199	agricultural	a. 农业的	
200	agriculture	n. 农业	 I know nothing about agriculture./r/n     我对农业一窍不通。/r/n\n Modern agriculture is spoiling our beautiful countryside./r/n     现代农业正在破坏我们美丽的农村。/r/n
201	ahead	ad. 向前地,胜于,在...前面	 He ran on ahead./r/n     他跑在前面。/r/n\n He will be ahead of others in English./r/n     他在英语方面将超过别人。/r/n
202	aid	n. 帮助,有帮助的事物<br>\nv. 援助,帮助<br>\nabbr.=Agency for International Development 国际开发署[美]	 A dictionary is an invaluable aid in learning a new language./r/n     在学习一种新语言时，词典是非常有用的工具。/r/n\n We were greatly aided in our investigation by the cooperation of the police./r/n     我们在调查的过程中得到警方的大力协助。/r/n
203	aim	n. 目标,对准<br>\nv. 对准目标,打算	 He aims to be a successful writer./r/n     他的目标是成为一个成功的作家。/r/n\n What is your aim in life?/r/n     你的生活目标是什么？/r/n
204	air	n. 空气,旋律<br>\nv. 晾干,使通风	 We aired the room by opening the window./r/n     我们打开窗户，使房间通风。/r/n\n I shall travel to New York by air this weekend./r/n     这个周末我将要乘飞机去纽约旅行。/r/n
205	airbrush	喷枪	
206	aircraft	n. 飞机	 The speed of this aircraft is very high./r/n     这架飞机的速度非常快。/r/n\n The new aircraft is undergoing safety tests./r/n     这种新飞机正在接受安全性能检验。/r/n
207	airfield	n. 飞机场	 A large passenger aircraft will land on the airfield./r/n     一架大型民航班机将降落在这个飞机场。/r/n\n The airfield is bounded by woods on all sides./r/n     飞机场的四周都是树林./r/n
208	airflow	气流	
209	airline	a. (飞机)航线的<br>\nn. (飞机的)航线,航空公司	 Mr. Wang is a staff of France airline./r/n     王先生是法国航空公司的一名职员。/r/n\n With several of their planes temporarily out of commission, the airline is losing money./r/n     航空公司因有几架飞机暂时不能使用而正在赔钱./r/n
210	airliner	n. 定期班机,客机	 This is a large passenger airliner./r/n     这是一架大型客机。/r/n\n The airliner flew at an altitude of 20000ft./r/n     客机在两万英尺的高度飞行。/r/n
211	airmail	n. 航空邮件	 Surface mail takes longer than airmail./r/n     普通邮件比航空邮件慢。/r/n\n An airmail letter to china normally cost50 cents, but this letter seem a bit thick./r/n     寄往中国的航空信一般是50美分，不过这封信好像厚一点。/r/n
212	airplane	n. 飞机	 The airplane is airworthy./r/n     这架飞机是适于飞行的。/r/n\n The airplane was attacked by dropping bombs./r/n     这架飞机遭到炸弹的袭击。/r/n
213	airport	n. 机场	 You must arrive at the airport two hours early./r/n     你必须提前两小时到达机场。/r/n\n I have arranged that one of my staff will meet you at the airport./r/n     我已经安排好派一个职员到飞机场接你。/r/n
214	aisle	n. (席位间的)通道	
215	alarm	n. 警报,惊慌,警告,报警器<br>\nv. 使...惊慌,警告	 I gave the alarm as soon as I saw the smoke./r/n     我一看见冒烟，就发出了警报。/r/n\n The news of the radiation leak caused widespread public alarm./r/n     辐射泄露的消息引起了公众的普遍恐慌。/r/n
216	album	n. 集邮本,照相簿,唱片簿	 My album of boyhood photographs often reminds me of the past happiness./r/n     童年时的相册经常让我想起儿时的欢乐。　/r/n\n This is one of the songs from her latest album./r/n     这是她最新歌集里的一首歌。/r/n
217	alcohol	n. 酒精	 This substance is soluble in alcohol./r/n     这种物质能够溶解在酒精中。/r/n\n He never touches alcohol./r/n     他从不沾酒。/r/n
218	alcoholic	n. 酒鬼,酒精中毒的人<br>\na. 酒精性的	 Home-made wine can be very alcoholic./r/n     自制的酒酒性很烈。/r/n\n He was in an alcoholic stupor./r/n     他醉得不省人事。/r/n
219	aldehyde	n. 醛,乙醛	
220	aldosterone	n. 醛固酮	
221	alert	a. 警觉的,灵敏的,留心的	 An alert listener will have noticed the error./r/n     耳朵尖的人能听出这个错。/r/n\n Troops are on the alert against any possible aggression./r/n     军队戒备着可能的来犯。/r/n
222	alga	n. 海藻	 Algae grow in water./r/n     水藻生长在水中。/r/n\n Some of the algae are edible./r/n     有些藻类是可以吃的。/r/n
223	algebraic	代数的	
224	algorithm	算法	
225	alias	n. 别名,化名<br>\nad. 别名,化名	 Mick Clark, alias Sid Brown, is wanted for questioning by the police./r/n     米克·克拉克, 又名锡德·布朗, 被警方通缉审问./r/n\n The criminal Mick Clark has/uses several aliases./r/n     那个叫米克·克拉克的罪犯有[使用]好几个化名./r/n
226	alien	n. 外侨;外星人<br>\na. 外国的,相异的	 Their ideas are quite alien to our ways of thinking./r/n     他们的观点同我们看问题的方法格格不入。/r/n\n Cruelty is quite alien to his nature./r/n     残忍完全不合他的本性。/r/n
227	alienation	n. 疏远,离间,割让	
228	alienator	n. 转让人,让渡人	
229	alienee	n. 受让人	
230	align	v. 排列,调整,定中心,校直,使结盟, 使成一行	 Could you align this table with those?/r/n     你能把这张桌子同那些桌子排成一行吗？/r/n\n Our company should align ourselves with theirs./r/n     我们的公司必须与他们的公司合作。/r/n
231	aligned	对齐的,均衡的	 The Communist Party has aligned itself with the Socialists./r/n     共产党与社会党结成了联盟./r/n\n The troops aligned./r/n     士兵们列队了。/r/n
232	alignment	n. 调整(成直线,准线,定向,直线性,结盟)	
233	alike	a. 相似的,同样的<br>\nad. 一样,以同样的方式	 We are much alike in character./r/n     我们的性格很相似。/r/n\n The two brothers are very much alike./r/n     这两兄弟非常相像。/r/n
234	alimentary	a. 食物的,滋养的	
235	alive	a. 活着的	 Are your grandparents still alive?/r/n     你的祖父母还在世吗？/r/n\n The city was all alive when he arrived./r/n     当他到达时，城里非常热闹。/r/n
236	alkalinity	n. 碱浓度,碱性	
237	all	a. 所有的,全部的<br>\nad. 全部,全然<br>\nint. 全部,全体,一切	 All work and no play makes Jack a dull boy./r/n     （谚）只工作不玩耍，聪明杰克也变傻。/r/n\n The party was all but over when we arrived./r/n     我们到的时候，晚会几乎要结束了。/r/n
238	allegation	n. 断言,主张,辩解	
239	allege	v. 断言,宣称	 The police alleged that the man was murdered but they have given no proof./r/n     警方声称这男子是被谋杀的，但未提出任何证据。/r/n\n So they alleged, but have they any proof?/r/n     他们是这样宣称的，但他们有证据吗？/r/n
240	alleged	a. 被说成的,被指称的	 The police alleged that the man was murdered but they have given no proof./r/n     警方声称这男子是被谋杀的，但未提出任何证据。/r/n\n So they alleged, but have they any proof?/r/n     他们是这样宣称的，但他们有证据吗？/r/n
241	allergic	a. 过敏的	 Allergic children; highly allergic to penicillin./r/n     过敏的儿童；对青霉素高度过敏/r/n\n Ben is allergic to pollen./r/n     班对花粉过敏。/r/n
242	allergy	n. 敏感症,反感,厌恶	 An allergy to cocktail parties./r/n     对鸡尾酒会的厌恶/r/n\n Constantly blowing his nose in allergy season./r/n     在过敏的季节不断地擤他的鼻子/r/n
243	alleviate	v. 减轻,使...缓和	 The doctor gave her an injection to alleviate the pain./r/n     医生给她注射以减轻疼痛./r/n\n They alleviated the boredom of waiting by singing songs./r/n     他们以唱歌来减轻等候的厌烦./r/n
244	alley	n. 小路,巷	 We tried one idea after the other, but they all seemed to be leading to blind alleys./r/n     我们想了一个又一个主意，但它们似乎都行不通。/r/n\n This business is right up my alley./r/n     这种事情正是我熟悉的。/r/n
245	alliance	n. 结盟,联盟,联姻	 They made an alliance against the common enemy./r/n     他们联合起来抵御共同的敌人。/r/n\n Which country is the predominant member of the alliance?/r/n     哪个国家在联盟中居于支配地位？/r/n
246	allied	a. 联合的,同盟的	 The English language is allied to the German language./r/n     英语和德语属于同一语系。/r/n\n The allied warplanes bombed the country by the hundred./r/n     盟军数以百计的飞机轰炸了那个国家。/r/n
